data;demonstrativo;uf;cod_completo;populacao;coluna;cod_conta;conta;valor;mes_num;ano;bimestre;cd_municipio;capital;nome_municipio;cd_uf
2022-03-01;RREO;RN;2408102;896708;<MR-11>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);273578283.04;3;2022;2;240810;sim;Natal;24
2022-04-01;RREO;RN;2408102;896708;<MR-10>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);241520577.4;4;2022;2;240810;sim;Natal;24
2022-05-01;RREO;RN;2408102;896708;<MR-9>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);251044780.29;5;2022;3;240810;sim;Natal;24
2022-06-01;RREO;RN;2408102;896708;<MR-8>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);270648112.2;6;2022;3;240810;sim;Natal;24
2022-07-01;RREO;RN;2408102;896708;<MR-7>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);249322597.06;7;2022;4;240810;sim;Natal;24
2022-08-01;RREO;RN;2408102;896708;<MR-6>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);258690800.65;8;2022;4;240810;sim;Natal;24
2022-09-01;RREO;RN;2408102;896708;<MR-5>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);226054115.82;9;2022;5;240810;sim;Natal;24
2022-10-01;RREO;RN;2408102;896708;<MR-4>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);239358953.1;10;2022;5;240810;sim;Natal;24
2022-11-01;RREO;RN;2408102;896708;<MR-3>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);282038982.51;11;2022;6;240810;sim;Natal;24
2022-12-01;RREO;RN;2408102;896708;<MR-2>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);387813677.35;12;2022;6;240810;sim;Natal;24
2023-01-01;RREO;RN;2408102;896708;<MR-1>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);406462106.41;1;2023;1;240810;sim;Natal;24
2023-02-01;RREO;RN;2408102;896708;<MR>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);297172046.77;2;2023;1;240810;sim;Natal;24
2022-03-01;RREO;RN;2408102;896708;<MR-11>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;83048911.99;3;2022;2;240810;sim;Natal;24
2022-04-01;RREO;RN;2408102;896708;<MR-10>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;67754555.74;4;2022;2;240810;sim;Natal;24
2022-05-01;RREO;RN;2408102;896708;<MR-9>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;74234266.74;5;2022;3;240810;sim;Natal;24
2022-06-01;RREO;RN;2408102;896708;<MR-8>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;72947309.11;6;2022;3;240810;sim;Natal;24
2022-07-01;RREO;RN;2408102;896708;<MR-7>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;67323201.46;7;2022;4;240810;sim;Natal;24
2022-08-01;RREO;RN;2408102;896708;<MR-6>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;72171198.01;8;2022;4;240810;sim;Natal;24
2022-09-01;RREO;RN;2408102;896708;<MR-5>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;73276609.85;9;2022;5;240810;sim;Natal;24
2022-10-01;RREO;RN;2408102;896708;<MR-4>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;74772978.17;10;2022;5;240810;sim;Natal;24
2022-11-01;RREO;RN;2408102;896708;<MR-3>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;70251597.64;11;2022;6;240810;sim;Natal;24
2022-12-01;RREO;RN;2408102;896708;<MR-2>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;73860634.21;12;2022;6;240810;sim;Natal;24
2023-01-01;RREO;RN;2408102;896708;<MR-1>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;213095452.48;1;2023;1;240810;sim;Natal;24
2023-02-01;RREO;RN;2408102;896708;<MR>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;92855557.23;2;2023;1;240810;sim;Natal;24
2022-03-01;RREO;RN;2408102;896708;<MR-11>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;17528564.8;3;2022;2;240810;sim;Natal;24
2022-04-01;RREO;RN;2408102;896708;<MR-10>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;14154676.34;4;2022;2;240810;sim;Natal;24
2022-05-01;RREO;RN;2408102;896708;<MR-9>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;15010580.6;5;2022;3;240810;sim;Natal;24
2022-06-01;RREO;RN;2408102;896708;<MR-8>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;14850650.79;6;2022;3;240810;sim;Natal;24
2022-07-01;RREO;RN;2408102;896708;<MR-7>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;13698798.93;7;2022;4;240810;sim;Natal;24
2022-08-01;RREO;RN;2408102;896708;<MR-6>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;14000775.47;8;2022;4;240810;sim;Natal;24
2022-09-01;RREO;RN;2408102;896708;<MR-5>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;13887554.02;9;2022;5;240810;sim;Natal;24
2022-10-01;RREO;RN;2408102;896708;<MR-4>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;14002913.9;10;2022;5;240810;sim;Natal;24
2022-11-01;RREO;RN;2408102;896708;<MR-3>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;13987132.63;11;2022;6;240810;sim;Natal;24
2022-12-01;RREO;RN;2408102;896708;<MR-2>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;13974155.03;12;2022;6;240810;sim;Natal;24
2023-01-01;RREO;RN;2408102;896708;<MR-1>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;110583583.82;1;2023;1;240810;sim;Natal;24
2023-02-01;RREO;RN;2408102;896708;<MR>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;25826882.51;2;2023;1;240810;sim;Natal;24
2022-03-01;RREO;RN;2408102;896708;<MR-11>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;39216394.92;3;2022;2;240810;sim;Natal;24
2022-04-01;RREO;RN;2408102;896708;<MR-10>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;36402823.52;4;2022;2;240810;sim;Natal;24
2022-05-01;RREO;RN;2408102;896708;<MR-9>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;37603358.52;5;2022;3;240810;sim;Natal;24
2022-06-01;RREO;RN;2408102;896708;<MR-8>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;40143794.54;6;2022;3;240810;sim;Natal;24
2022-07-01;RREO;RN;2408102;896708;<MR-7>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;37480016.88;7;2022;4;240810;sim;Natal;24
2022-08-01;RREO;RN;2408102;896708;<MR-6>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;39777268.86;8;2022;4;240810;sim;Natal;24
2022-09-01;RREO;RN;2408102;896708;<MR-5>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;42209680.05;9;2022;5;240810;sim;Natal;24
2022-10-01;RREO;RN;2408102;896708;<MR-4>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;43138456.65;10;2022;5;240810;sim;Natal;24
2022-11-01;RREO;RN;2408102;896708;<MR-3>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;39401029.98;11;2022;6;240810;sim;Natal;24
2022-12-01;RREO;RN;2408102;896708;<MR-2>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;41880580.74;12;2022;6;240810;sim;Natal;24
2023-01-01;RREO;RN;2408102;896708;<MR-1>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;43309237.82;1;2023;1;240810;sim;Natal;24
2023-02-01;RREO;RN;2408102;896708;<MR>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;42531990.92;2;2023;1;240810;sim;Natal;24
2022-03-01;RREO;RN;2408102;896708;<MR-11>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;4912116.9;3;2022;2;240810;sim;Natal;24
2022-04-01;RREO;RN;2408102;896708;<MR-10>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;4144908.65;4;2022;2;240810;sim;Natal;24
2022-05-01;RREO;RN;2408102;896708;<MR-9>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;8437710.38;5;2022;3;240810;sim;Natal;24
2022-06-01;RREO;RN;2408102;896708;<MR-8>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;5606244.24;6;2022;3;240810;sim;Natal;24
2022-07-01;RREO;RN;2408102;896708;<MR-7>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;4192691.26;7;2022;4;240810;sim;Natal;24
2022-08-01;RREO;RN;2408102;896708;<MR-6>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;5016214.01;8;2022;4;240810;sim;Natal;24
2022-09-01;RREO;RN;2408102;896708;<MR-5>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;5384166.73;9;2022;5;240810;sim;Natal;24
2022-10-01;RREO;RN;2408102;896708;<MR-4>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;4867842.25;10;2022;5;240810;sim;Natal;24
2022-11-01;RREO;RN;2408102;896708;<MR-3>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;4922192.63;11;2022;6;240810;sim;Natal;24
2022-12-01;RREO;RN;2408102;896708;<MR-2>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;5626804.1;12;2022;6;240810;sim;Natal;24
2023-01-01;RREO;RN;2408102;896708;<MR-1>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;6638127.09;1;2023;1;240810;sim;Natal;24
2023-02-01;RREO;RN;2408102;896708;<MR>;ITBILiquidoExcetoTransferenciasEFUNDEB;ITBI;5011433.64;2;2023;1;240810;sim;Natal;24
2022-03-01;RREO;RN;2408102;896708;<MR-11>;IRRFLiquidoExcetoTransferenciasEFUNDEB;IRRF;3458468.78;3;2022;2;240810;sim;Natal;24
2022-04-01;RREO;RN;2408102;896708;<MR-10>;IRRFLiquidoExcetoTransferenciasEFUNDEB;IRRF;4664965.38;4;2022;2;240810;sim;Natal;24
2022-05-01;RREO;RN;2408102;896708;<MR-9>;IRRFLiquidoExcetoTransferenciasEFUNDEB;IRRF;3588240.82;5;2022;3;240810;sim;Natal;24
2022-06-01;RREO;RN;2408102;896708;<MR-8>;IRRFLiquidoExcetoTransferenciasEFUNDEB;IRRF;3967129.97;6;2022;3;240810;sim;Natal;24
2022-07-01;RREO;RN;2408102;896708;<MR-7>;IRRFLiquidoExcetoTransferenciasEFUNDEB;IRRF;4231440.89;7;2022;4;240810;sim;Natal;24
2022-08-01;RREO;RN;2408102;896708;<MR-6>;IRRFLiquidoExcetoTransferenciasEFUNDEB;IRRF;5059763.96;8;2022;4;240810;sim;Natal;24
2022-09-01;RREO;RN;2408102;896708;<MR-5>;IRRFLiquidoExcetoTransferenciasEFUNDEB;IRRF;4381935.73;9;2022;5;240810;sim;Natal;24
2022-10-01;RREO;RN;2408102;896708;<MR-4>;IRRFLiquidoExcetoTransferenciasEFUNDEB;IRRF;4055574.7;10;2022;5;240810;sim;Natal;24
2022-11-01;RREO;RN;2408102;896708;<MR-3>;IRRFLiquidoExcetoTransferenciasEFUNDEB;IRRF;4178007.17;11;2022;6;240810;sim;Natal;24
2022-12-01;RREO;RN;2408102;896708;<MR-2>;IRRFLiquidoExcetoTransferenciasEFUNDEB;IRRF;4296128.92;12;2022;6;240810;sim;Natal;24
2023-01-01;RREO;RN;2408102;896708;<MR-1>;IRRFLiquidoExcetoTransferenciasEFUNDEB;IRRF;4131157.31;1;2023;1;240810;sim;Natal;24
2023-02-01;RREO;RN;2408102;896708;<MR>;IRRFLiquidoExcetoTransferenciasEFUNDEB;IRRF;4482694.72;2;2023;1;240810;sim;Natal;24
2022-03-01;RREO;RN;2408102;896708;<MR-11>;OutrasReceitasTributarias;Outros Impostos, Taxas e Contribuições de Melhoria;17933366.59;3;2022;2;240810;sim;Natal;24
2022-04-01;RREO;RN;2408102;896708;<MR-10>;OutrasReceitasTributarias;Outros Impostos, Taxas e Contribuições de Melhoria;8387181.85;4;2022;2;240810;sim;Natal;24
2022-05-01;RREO;RN;2408102;896708;<MR-9>;OutrasReceitasTributarias;Outros Impostos, Taxas e Contribuições de Melhoria;9594376.42;5;2022;3;240810;sim;Natal;24
2022-06-01;RREO;RN;2408102;896708;<MR-8>;OutrasReceitasTributarias;Outros Impostos, Taxas e Contribuições de Melhoria;8379489.57;6;2022;3;240810;sim;Natal;24
2022-07-01;RREO;RN;2408102;896708;<MR-7>;OutrasReceitasTributarias;Outros Impostos, Taxas e Contribuições de Melhoria;7720253.5;7;2022;4;240810;sim;Natal;24
2022-08-01;RREO;RN;2408102;896708;<MR-6>;OutrasReceitasTributarias;Outros Impostos, Taxas e Contribuições de Melhoria;8317175.71;8;2022;4;240810;sim;Natal;24
2022-09-01;RREO;RN;2408102;896708;<MR-5>;OutrasReceitasTributarias;Outros Impostos, Taxas e Contribuições de Melhoria;7413273.32;9;2022;5;240810;sim;Natal;24
