data;demonstrativo;uf;cod_completo;populacao;coluna;cod_conta;conta;valor;mes_num;ano;bimestre;cd_municipio;capital;nome_municipio;cd_uf
2022-01-01;RREO;PE;2611606;1661017;<MR-11>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);516460032.47;1;2022;1;261160;sim;Recife;26
2022-02-01;RREO;PE;2611606;1661017;<MR-10>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);848760939.26;2;2022;1;261160;sim;Recife;26
2022-03-01;RREO;PE;2611606;1661017;<MR-9>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);540436113.63;3;2022;2;261160;sim;Recife;26
2022-04-01;RREO;PE;2611606;1661017;<MR-8>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);551479682.35;4;2022;2;261160;sim;Recife;26
2022-05-01;RREO;PE;2611606;1661017;<MR-7>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);558229343.09;5;2022;3;261160;sim;Recife;26
2022-06-01;RREO;PE;2611606;1661017;<MR-6>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);563804877.54;6;2022;3;261160;sim;Recife;26
2022-07-01;RREO;PE;2611606;1661017;<MR-5>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);519723159.99;7;2022;4;261160;sim;Recife;26
2022-08-01;RREO;PE;2611606;1661017;<MR-4>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);646960122.99;8;2022;4;261160;sim;Recife;26
2022-09-01;RREO;PE;2611606;1661017;<MR-3>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);479786083.06;9;2022;5;261160;sim;Recife;26
2022-10-01;RREO;PE;2611606;1661017;<MR-2>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);511142620.33;10;2022;5;261160;sim;Recife;26
2022-11-01;RREO;PE;2611606;1661017;<MR-1>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);565606908.81;11;2022;6;261160;sim;Recife;26
2022-12-01;RREO;PE;2611606;1661017;<MR>;ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;RECEITAS CORRENTES (I);622596634.44;12;2022;6;261160;sim;Recife;26
2022-01-01;RREO;PE;2611606;1661017;<MR-11>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;197454162.48;1;2022;1;261160;sim;Recife;26
2022-02-01;RREO;PE;2611606;1661017;<MR-10>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;415968658.27;2;2022;1;261160;sim;Recife;26
2022-03-01;RREO;PE;2611606;1661017;<MR-9>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;192238041.85;3;2022;2;261160;sim;Recife;26
2022-04-01;RREO;PE;2611606;1661017;<MR-8>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;188558055.04;4;2022;2;261160;sim;Recife;26
2022-05-01;RREO;PE;2611606;1661017;<MR-7>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;190251031.13;5;2022;3;261160;sim;Recife;26
2022-06-01;RREO;PE;2611606;1661017;<MR-6>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;190046294.1;6;2022;3;261160;sim;Recife;26
2022-07-01;RREO;PE;2611606;1661017;<MR-5>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;187536024.23;7;2022;4;261160;sim;Recife;26
2022-08-01;RREO;PE;2611606;1661017;<MR-4>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;222800827.41;8;2022;4;261160;sim;Recife;26
2022-09-01;RREO;PE;2611606;1661017;<MR-3>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;199465879.15;9;2022;5;261160;sim;Recife;26
2022-10-01;RREO;PE;2611606;1661017;<MR-2>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;209982753.78;10;2022;5;261160;sim;Recife;26
2022-11-01;RREO;PE;2611606;1661017;<MR-1>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;195267537.53;11;2022;6;261160;sim;Recife;26
2022-12-01;RREO;PE;2611606;1661017;<MR>;ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;Impostos, Taxas e Contribuições de Melhoria;202367977.17;12;2022;6;261160;sim;Recife;26
2022-01-01;RREO;PE;2611606;1661017;<MR-11>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;45827880.46;1;2022;1;261160;sim;Recife;26
2022-02-01;RREO;PE;2611606;1661017;<MR-10>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;191226567.04;2;2022;1;261160;sim;Recife;26
2022-03-01;RREO;PE;2611606;1661017;<MR-9>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;44567285.4;3;2022;2;261160;sim;Recife;26
2022-04-01;RREO;PE;2611606;1661017;<MR-8>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;40832967.39;4;2022;2;261160;sim;Recife;26
2022-05-01;RREO;PE;2611606;1661017;<MR-7>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;41955776.33;5;2022;3;261160;sim;Recife;26
2022-06-01;RREO;PE;2611606;1661017;<MR-6>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;40106313.09;6;2022;3;261160;sim;Recife;26
2022-07-01;RREO;PE;2611606;1661017;<MR-5>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;37864819.54;7;2022;4;261160;sim;Recife;26
2022-08-01;RREO;PE;2611606;1661017;<MR-4>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;42025763.65;8;2022;4;261160;sim;Recife;26
2022-09-01;RREO;PE;2611606;1661017;<MR-3>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;40629250.25;9;2022;5;261160;sim;Recife;26
2022-10-01;RREO;PE;2611606;1661017;<MR-2>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;39570081.95;10;2022;5;261160;sim;Recife;26
2022-11-01;RREO;PE;2611606;1661017;<MR-1>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;37763898.53;11;2022;6;261160;sim;Recife;26
2022-12-01;RREO;PE;2611606;1661017;<MR>;IPTULiquidoExcetoTransferenciasEFUNDEB;IPTU;13839308.43;12;2022;6;261160;sim;Recife;26
2022-01-01;RREO;PE;2611606;1661017;<MR-11>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;100132528.76;1;2022;1;261160;sim;Recife;26
2022-02-01;RREO;PE;2611606;1661017;<MR-10>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;85829871.22;2;2022;1;261160;sim;Recife;26
2022-03-01;RREO;PE;2611606;1661017;<MR-9>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;86674991.4;3;2022;2;261160;sim;Recife;26
2022-04-01;RREO;PE;2611606;1661017;<MR-8>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;93767723.89;4;2022;2;261160;sim;Recife;26
2022-05-01;RREO;PE;2611606;1661017;<MR-7>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;93171283.58;5;2022;3;261160;sim;Recife;26
2022-06-01;RREO;PE;2611606;1661017;<MR-6>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;96195136.97;6;2022;3;261160;sim;Recife;26
2022-07-01;RREO;PE;2611606;1661017;<MR-5>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;95653848.99;7;2022;4;261160;sim;Recife;26
2022-08-01;RREO;PE;2611606;1661017;<MR-4>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;99417599.59;8;2022;4;261160;sim;Recife;26
2022-09-01;RREO;PE;2611606;1661017;<MR-3>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;100748980.38;9;2022;5;261160;sim;Recife;26
2022-10-01;RREO;PE;2611606;1661017;<MR-2>;ISSLiquidoExcetoTransferenciasEFUNDEB;ISS;107493341.46;10;2022;5;261160;sim;Recife;26
